nm,P09,P06,P19,P21,F07,T01-1,T01-2
1096,4.176470588,4.213963617,3.76876144,2.61358552,4.270495577,3.684207503,3.401987401
1095,4.117647059,4.162076968,3.715768057,2.577110885,4.210015763,3.629045928,3.350417007
1094,4.117647059,4.166497584,3.721555058,2.577447588,4.210354025,3.625952908,3.350665004
1093,4.117647059,4.169514244,3.723692245,2.576022797,4.212224109,3.624840428,3.352637518
1092,4.117647059,4.171037453,3.726300784,2.578047042,4.21477976,3.624864255,3.348115432
1091,4.117647059,4.174338027,3.728772144,2.574221136,4.219550698,3.624107928,3.335776286
1090,4.117647059,4.173162171,3.733095723,2.573319756,4.225340136,3.62660159,3.329854668
1089,4.117647059,4.171918716,3.737227763,2.574598005,4.22652739,3.628865899,3.334469974
1088,4.117647059,4.174105059,3.7411214,2.576472983,4.230105698,3.633819913,3.336336078
1087,4.117647059,4.180109134,3.743688925,2.57512215,4.231825918,3.638875001,3.340190763
1086,4.117647059,4.187887235,3.749770946,2.574671689,4.230816004,3.64200044,3.340547705
1085,4.117647059,4.195284225,3.752062748,2.576958338,4.23253833,3.637050981,3.339550183
1084,4.117647059,4.198169515,3.757977368,2.578346417,4.233073551,3.637254276,3.347129668
1083,4.117647059,4.205054523,3.760938297,2.577970423,4.243174061,3.634467568,3.350716352
1082,4.117647059,4.208399924,3.767197387,2.58124107,4.250884254,3.636167002,3.358615486
1081,4.117647059,4.21029075,3.765822785,2.580338914,4.253629377,3.638518812,3.353918143
1080,4.117647059,4.215044163,3.772639102,2.579887698,4.257899231,3.636188672,3.351179362
1079,4.166666667,4.216205979,3.777528319,2.582406368,4.259792556,3.640136982,3.356201037
1078,4.117647059,4.215552009,3.778129144,2.584922983,4.260163594,3.655005048,3.363180285
1077,4.166666667,4.215270825,3.776588151,2.584582441,4.261576054,3.664090802,3.364314279
1076,4.117647059,4.214284333,3.783513569,2.584472557,4.264702286,3.673580091,3.365288298
1075,4.166666667,4.214517397,3.784613815,2.589021528,4.26816736,3.674397327,3.367283575
1074,4.166666667,4.215785437,3.787915901,2.591243111,4.272493573,3.665377047,3.36735583
1073,4.166666667,4.218866999,3.78979071,2.587034201,4.274920402,3.659090076,3.373059701
1072,4.166666667,4.225182133,3.795180723,2.580865836,4.279921597,3.653192072,3.372657283
1071,4.166666667,4.238422716,3.799142244,2.578984989,4.281495098,3.652204252,3.37170405
1070,4.166666667,4.246426731,3.803757402,2.575862773,4.283210784,3.658162462,3.372935505
1069,4.166666667,4.252184866,3.808697428,2.571763985,4.283453943,3.661925766,3.376001881
1068,4.107142857,4.19179947,3.759218048,2.537137607,4.222122699,3.616810814,3.333077295
1067,4.107142857,4.187715079,3.760242932,2.538991528,4.220618557,3.625673774,3.3328463
1066,4.107142857,4.183907821,3.763444263,2.539250715,4.223020258,3.624497042,3.325299563
1065,4.107142857,4.18500458,3.770044953,2.543440948,4.225285662,3.625861428,3.328650433
1064,4.107142857,4.188482928,3.774859421,2.54596667,4.227745665,3.630888771,3.3343868
1063,4.107142857,4.19465622,3.776790098,2.546563011,4.228402803,3.630950264,3.341457155
1062,4.107142857,4.199311303,3.780908998,2.544856178,4.228594269,3.631262094,3.348831306
1061,4.107142857,4.204981475,3.782640737,2.54247697,4.231604179,3.634115168,3.352324563
1060,4.107142857,4.207418441,3.786103152,2.539838314,4.235517581,3.639538505,3.362731718
1059,4.189285714,4.20589691,3.788858195,2.536494782,4.241455618,3.645401752,3.368115496
1058,4.107142857,4.203279262,3.793659235,2.533340151,4.245957918,3.645799907,3.367341274
1057,4.107142857,4.207237622,3.79545873,2.535716477,4.246676514,3.648638876,3.36325149
1056,4.107142857,4.21058258,3.798210451,2.537314654,4.249618227,3.649942344,3.352637009
1055,4.107142857,4.219958643,3.804705882,2.539058824,4.252632228,3.649746916,3.345861094
1054,4.107142857,4.225289535,3.810890481,2.541064483,4.252305795,3.649360485,3.341746559
1053,4.107142857,4.229456857,3.814812161,2.54273723,4.252899803,3.655198328,3.346891257
1052,4.107142857,4.228316211,3.820223223,2.544931395,4.255979267,3.650742618,3.344586835
1051,4.107142857,4.225359358,3.825952478,2.544039328,4.261037678,3.65243108,3.351162535
1050,4.107142857,4.226408896,3.829641393,2.542961066,4.267565895,3.656936983,3.35819518
1049,4.107142857,4.232404648,3.835376102,2.540653823,4.271713295,3.663041247,3.366304244
1048,4.156626506,4.236244218,3.836869619,2.540467405,4.277247956,3.663932751,3.366165506
1047,4.107142857,4.240167698,3.839698647,2.540467405,4.278632479,3.663140805,3.368016431
1046,4.156626506,4.246117795,3.841900759,2.538866106,4.280136223,3.66235214,3.365116835
1045,4.107142857,4.248950026,3.844022965,2.538866106,4.284408669,3.660894996,3.357158215
1044,4.156626506,4.250448698,3.844881648,2.538979404,4.288565411,3.665606363,3.360178161
1043,4.096385542,4.192094197,3.79295082,2.502622951,4.229781962,3.612433576,3.312259728
1042,4.096385542,4.19428522,3.797438787,2.503063211,4.23240362,3.613626246,3.315695978
